id,time,username,post,label,skipstatus,player
719152601460252672,1461037339.5420275,DuvenOfficial,"RT @SSN401: BREAKING: @RomeluLukaku9 has said he was ""Only Messing"" about wanting Champions League Football &amp; he's just after a pay rise",neu,,7.0
719154279227998208,1461037339.5400252,_Spurs_isaac,RT @Cxbaye: FUCKING TEARS YOU HORNY CUNT @RomeluLukaku9 http://t.co/UnNGlWFol7,neg,,7.0
719169483969929217,1461037339.539024,Isiah360,It's a dream come through to know that @vardy7 scores 20+ @premierleague  goals this season for @LCFC.Come on @RomeluLukaku9 you are next.,,,
719170121592274944,1461037339.5380225,D_Mine04,@FPL_TransTips @vardy7 @RomeluLukaku9 :(((,,,
719170257676562432,1461037339.5370214,TheLazzzyOne,Score vs palace else fuck off @RomeluLukaku9,,,
719170375775424512,1461037339.5360296,tejaswi_22,RT @TheLazzzyOne: Score vs palace else fuck off @RomeluLukaku9,,,
719171707362148352,1461037339.5350225,amahrishi,"Hi @RomeluLukaku9, could you please score a hat-trick against @CPFC for me? It'd mean a lot to me. I promise to buy your jersey if you do.",,,
719177409958973440,1461037339.5340207,RyxnM,@RomeluLukaku9 Iv got you triple captain this week so you best do better Tuesday or my years over.,,,
719207299651387393,1461037339.5330312,AImightyDan,must be tough being in origi's shadow @RomeluLukaku9,,,
719215431014342656,1461036496.174286,Chrismatthews16,@ChrisEriksen8 really is a joy to watch. Such awareness and vision.,,,
719215581254311940,1461036496.1722677,Nicolas_Silva4,RT @SpursOfficial: More on goal: @HKane spreads it to @ChrisEriksen8 whose perfectly weighted pass is buried from close range! #COYS https:…,,,
719215894216376320,1461036496.1702654,plaksana79,RT @Spurs_ID: Bola berlari ke @ChrisEriksen8 setelah kemelut di lini tengah. Assist cantik The Dane kepada @Dele_Alli mengubah skor 1-0. #C…,,,
719215925984116736,1461036496.1682775,Dnannery,@HKane @ChrisEriksen8 @mousadembele @AlderweireldTob @ericdier @ErikLamela @Dele_Alli @JanVertonghen @kylewalker2 GET IN YOU BEAUTYS #COYS,,,
719216424326070272,1461036496.1652696,akmalrahmad,Da msuk champion league jgn riak @ChrisEriksen8 @vardy7,,,
719216464738283520,1461036496.1642582,damii73,RT @Spurs_ES: 69': GOOOL de @Dele_Alli a pase de @ChrisEriksen8. Remate a placer. ¡¡VAAAAAAAAMOOOOOS!! 1-0 #COYS https://t.co/WvtKp2Ri9t,,,
719217392874885126,1461036496.1622558,GarethPalframan,They say we wasted the Bale money but I disagree. I'd have blown the lot on @ChrisEriksen8,,,
719217570252001281,1461036496.161256,daveram22,@ChrisEriksen8 pass for first goal sums the guy up. He just sees everything before it happens #coys,,,
719217650514014208,1461036496.1602564,BradPitt_Yido,Great win for the boys! #SpursVsUnited Dont give up!! #Spurs @Dele_Alli @HKane @ericdier @kylewalker2 @JanVertonghen @ChrisEriksen8,,,
719217741727723520,1461036496.1592555,ANDREW0675,How amazing was @ChrisEriksen8 today ???????????????????????????????? #COYS,,,
719217924456783873,1461036496.158254,1979IRISHGAL,"RT @SpursOfficial: DID YOU KNOW? Since making his @premierleague debut in Sept 2013, @ChrisEriksen8 has created 250 goal-scoring chances fo…",,,
719218333262966785,1461036496.156252,1979IRISHGAL,RT @SpursOfficial: A look at @ChrisEriksen8's first-half stats and the action areas... #COYS https://t.co/D27Ct1pwCs,,,
719218612691726336,1461036496.1542444,AnnArborSpurs,@SpursOfficial @ChrisEriksen8 MOTM,,,
719219352503992321,1461036496.1514635,dwallm,That flick header from  @ChrisEriksen8 to Danny Rose in the build up for the 3rd though #eyesinthebackofhishead,,,
719219789432918016,1461036496.150462,mr_briefcase,RT @AnnArborSpurs: @SpursOfficial @ChrisEriksen8 MOTM,,,
719220342917623808,1461037339.53203,Ammarsawesome,Pls save me @RomeluLukaku9 #fpl,,,
719220497645494273,1461036496.1494606,DaveTHill,Most players had a good game today. Notable mentions to @mousadembele and @ChrisEriksen8 but motm for me was @ErikLamela,,,
719221019500613632,1461036496.1474586,ShoeSiren,Eriksen's been on fire. His accuracy has been beyond sublime. Thank you @ChrisEriksen8 !! #COYS,,,
719221598448918529,1461036496.1464715,jmpmnp,@SpursOfficial @ChrisEriksen8,,,
719222782714744834,1461036496.1430295,riyanworldyou,RT @ShoeSiren: Eriksen's been on fire. His accuracy has been beyond sublime. Thank you @ChrisEriksen8 !! #COYS,,,
719222835558944768,1461036496.1374354,PaddyBriggs,@dwallm @ChrisEriksen8 It was stunning. He skimmed it with top of his head with immaculate precision. Quite brilliant. #COYS,,,
719224365657767938,1461037339.5310225,MichaelClyaton,@RomeluLukaku9 if you don't score on Wednesday your a deadman. #FPL,,,
